tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
182.00;192591565#2_0;258.68;23.48;28.00;0.52;28718647#1_0;5.10;19.52;tripinfo_60 emissions_60 ssm_60 fcd_60;154.00;60;0;1006.64;0.88;0.00;104.83;DEFAULT_VEHTYPE;;3;78.00;402564.18;2556.12;17.09;150.63;27.31;0.00;130506.04
184.00;192591565#2_0;258.68;28.14;37.00;0.14;28718647#1_0;5.10;22.62;tripinfo_197 emissions_197 ssm_197 fcd_197;147.00;197;0;1006.64;1.02;0.00;104.52;DEFAULT_VEHTYPE;;4;63.00;421910.41;3183.16;21.28;158.85;28.11;0.00;136777.12
191.00;192591565#2_0;258.68;28.79;136.00;0.05;690516091#0_0;5.10;28.89;tripinfo_1251 emissions_1251 ssm_1251 fcd_1251;55.00;1251;0;903.69;1.04;0.00;22.19;DEFAULT_VEHTYPE;;0;0.00;276782.72;3413.22;22.94;106.16;27.15;0.00;89728.21
196.00;192591565#2_0;258.68;27.97;160.00;0.46;29181613#1_0;5.10;27.98;tripinfo_647 emissions_647 ssm_647 fcd_647;36.00;647;0;523.09;1.01;0.00;15.55;DEFAULT_VEHTYPE;;1;1.00;182559.46;2282.67;15.22;71.97;15.08;0.00;59182.39
200.00;192591565#2_0;258.68;27.66;95.00;0.84;690516091#0_0;5.10;27.71;tripinfo_1364 emissions_1364 ssm_1364 fcd_1364;105.00;1364;0;903.69;1.00;0.00;70.13;DEFAULT_VEHTYPE;;3;30.00;346191.53;3124.67;20.91;129.95;25.02;0.00;112229.91
203.00;305873958#3-AddedOnRampEdge_2;99.87;22.05;117.00;0.41;28718647#1_0;5.10;22.57;tripinfo_128 emissions_128 ssm_128 fcd_128;86.00;128;0;775.35;1.02;0.00;50.73;DEFAULT_VEHTYPE;;1;37.00;268671.63;2214.46;14.79;101.32;20.25;0.00;87099.48
207.00;192591565#2_0;258.68;31.30;109.00;0.24;690516091#0_0;5.10;31.74;tripinfo_1334 emissions_1334 ssm_1334 fcd_1334;98.00;1334;0;903.69;1.14;0.00;68.17;DEFAULT_VEHTYPE;;7;18.00;378596.90;3917.43;26.26;144.72;28.49;0.00;122734.65
209.00;10873193#2_0;224.37;21.39;107.00;0.06;29181613#1_1;5.10;27.87;tripinfo_398 emissions_398 ssm_398 fcd_398;102.00;398;0;791.06;1.00;0.00;67.25;DEFAULT_VEHTYPE;;2;46.00;292641.29;2185.51;14.63;109.75;20.49;0.00;94870.31
210.00;10873193#2_0;224.37;22.41;114.00;0.78;50211834#0_0;5.10;30.07;tripinfo_1649 emissions_1649 ssm_1649 fcd_1649;96.00;1649;0;825.23;1.08;0.00;62.36;DEFAULT_VEHTYPE;;2;48.00;274254.07;2303.05;15.43;106.36;19.65;0.00;88909.43
212.00;192591565#2_0;258.68;22.87;102.00;0.57;28718647#1_0;5.10;18.90;tripinfo_222 emissions_222 ssm_222 fcd_222;110.00;222;0;1006.64;0.85;0.00;59.10;DEFAULT_VEHTYPE;;3;25.00;317105.45;2368.12;15.80;115.46;24.89;0.00;102800.86
213.00;10873193#2_0;224.37;21.19;78.00;0.11;29181613#1_1;5.10;26.59;tripinfo_417 emissions_417 ssm_417 fcd_417;135.00;417;0;791.06;0.96;0.00;99.26;DEFAULT_VEHTYPE;;3;78.00;337846.90;2044.66;13.68;126.87;19.84;0.00;109525.68
